
PERIODO;PESO;VALOR;NUM_OPERACIONES
Dic/19;92.700;71.496,28;12
Nov/19;47.565;37.062,79;10
Oct/19;35.481;27.921,29;8
Sep/19;24.605;18.877,82;5
Ago/19;18.700;14.569,10;5
Jul/19;18.958;16.387,92;6
Jun/19;20.595;16.793,61;4
May/19;32.249;25.121,85;6
Abr/19;26.110;18.748,46;6
Mar/19;65.147;54.780,60;7
Feb/19;82.085;71.381,85;10
Ene/19;17.809;12.970,28;6
Total;482.005;386.111,85;85
