
PERIODO;PESO;VALOR;NUM_OPERACIONES
Dic/17;21.042;16.694,07;4
Nov/17;24.192;20.089,57;2
Oct/17;33.792;28.149,41;6
Sep/17;35.117;33.109,08;4
Ago/17;25.728;18.819,46;5
Jul/17;25.150;19.807,64;7
Jun/17;23.411;17.476,25;9
May/17;22.328;16.237,32;6
Abr/17;14.105;9.594,39;4
Mar/17;17.766;12.516,13;5
Feb/17;45.250;31.556,09;9
Ene/17;10;9,11;1
Total;287.891;224.058,53;62
