
PERIODO;PESO;VALOR;NUM_OPERACIONES
Dic/18;17.034;13.555,79;5
Nov/18;19.977;14.669,45;7
Oct/18;18.140;15.450,69;7
Sep/18;27.552;23.218,44;8
Ago/18;16.595;14.577,67;5
Jul/18;21.779;20.978,98;5
Jun/18;46.703;34.275,71;8
May/18;42.585;28.028,24;7
Abr/18;16.876;13.055,32;6
Mar/18;53.354;37.641,84;11
Feb/18;8.474;6.553,34;3
Ene/18;29.232;22.227,59;5
Total;318.301;244.233,08;77
